start node,end node,regulation
ramR,ramR,-1
ramR,ramA,-1
ramA,acrAB,0.95
acrR,acrR,-1
acrR,acrAB,-1
ghost1,ramR,0.95
ghost2,ramA,0.95
ghost3,acrR,0.95
acrAB,signal,-1
